id,dut,categories,test,description,inputs,result,messages
574,dc1-leaf2c,Field Notices,VerifyFieldNotice72Resolution,"Verifies if the device is exposed to FN0072, and if the issue has been mitigated.",,NOT RUN,
575,dc1-leaf2c,Greent,VerifyGreenT,Verifies if a GreenT policy is created.,,NOT RUN,
576,dc1-leaf2c,Greent,VerifyGreenTCounters,Verifies if the GreenT counters are incremented.,,NOT RUN,
577,dc1-leaf2c,Hardware,VerifyAdverseDrops,Verifies there are no adverse drops on DCS-7280 and DCS-7500 family switches.,,NOT RUN,
578,dc1-leaf2c,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,,NOT RUN,
579,dc1-leaf2c,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',NOT RUN,
580,dc1-leaf2c,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,,NOT RUN,
581,dc1-leaf2c,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',NOT RUN,
582,dc1-leaf2c,Hardware,VerifyEnvironmentSystemCooling,Verifies the system cooling status.,,NOT RUN,
583,dc1-leaf2c,Hardware,VerifyTemperature,Verifies the device temperature.,,NOT RUN,
584,dc1-leaf2c,Hardware,VerifyTemperature,Verifies the device temperature.,,NOT RUN,
585,dc1-leaf2c,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,,NOT RUN,
586,dc1-leaf2c,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",NOT RUN,
587,dc1-leaf2c,Hardware,VerifyTransceiversTemperature,Verifies the transceivers temperature.,,NOT RUN,
588,dc1-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - DC1-LEAF2A_Ethernet8 = 'up',NOT RUN,
589,dc1-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - DC1-LEAF2B_Ethernet8 = 'adminDown',NOT RUN,
590,dc1-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet5 - dc1-leaf2-server1_iLO = 'up',NOT RUN,
591,dc1-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel1 - DC1_L3_LEAF2_Po8 = 'up',NOT RUN,
592,dc1-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4085 - L2LEAF_INBAND_MGMT = 'up',NOT RUN,
593,dc1-leaf2c,LANZ,VerifyLANZ,Verifies if LANZ is enabled.,,NOT RUN,
594,dc1-leaf2c,PTP,VerifyPtpGMStatus,Verifies that the device is locked to a valid PTP Grandmaster.,,NOT RUN,
595,dc1-leaf2c,PTP,VerifyPtpLockStatus,Verifies that the device was locked to the upstream PTP GM in the last minute.,,NOT RUN,
596,dc1-leaf2c,PTP,VerifyPtpModeStatus,Verifies that the device is configured as a PTP Boundary Clock.,,NOT RUN,
597,dc1-leaf2c,PTP,VerifyPtpOffset,Verifies that the PTP timing offset is within +/- 1000ns from the master clock.,,NOT RUN,
598,dc1-leaf2c,PTP,VerifyPtpPortModeStatus,Verifies the PTP interfaces state.,,NOT RUN,
599,dc1-leaf2c,Security,VerifyAPIHttpsSSL,Verifies if the eAPI has a valid SSL profile.,,NOT RUN,
600,dc1-leaf2c,Security,VerifyAPIHttpsSSL,Verifies if the eAPI has a valid SSL profile.,eAPI HTTPS SSL Profile: eAPI_SSL_Profile,NOT RUN,
601,dc1-leaf2c,Security,VerifyAPIHttpStatus,Verifies if eAPI HTTP server is disabled globally.,,NOT RUN,
602,dc1-leaf2c,Security,VerifyAPIIPv4Acl,Verifies if eAPI has the right number IPv4 ACL(s) configured for a specified VRF.,,NOT RUN,
603,dc1-leaf2c,Security,VerifyAPIIPv6Acl,Verifies if eAPI has the right number IPv6 ACL(s) configured for a specified VRF.,,NOT RUN,
604,dc1-leaf2c,Security,VerifyAPISSLCertificate,"Verifies the eAPI SSL certificate expiry, common subject name, encryption algorithm and key size.",,NOT RUN,
605,dc1-leaf2c,Security,VerifyBannerLogin,Verifies the login banner of a device.,,NOT RUN,
606,dc1-leaf2c,Security,VerifyBannerMotd,Verifies the motd banner of a device.,,NOT RUN,
607,dc1-leaf2c,Security,VerifyIPSecConnHealth,Verifies all IPv4 security connections.,,NOT RUN,
608,dc1-leaf2c,Security,VerifyIPv4ACL,Verifies the configuration of IPv4 ACLs.,,NOT RUN,
609,dc1-leaf2c,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,,NOT RUN,
610,dc1-leaf2c,Security,VerifySSHIPv4Acl,Verifies if the SSHD agent has IPv4 ACL(s) configured.,,NOT RUN,
611,dc1-leaf2c,Security,VerifySSHIPv6Acl,Verifies if the SSHD agent has IPv6 ACL(s) configured.,,NOT RUN,
612,dc1-leaf2c,Security,VerifySSHStatus,Verifies if the SSHD agent is disabled in the default VRF.,,NOT RUN,
613,dc1-leaf2c,Security,VerifyTelnetStatus,Verifies if Telnet is disabled in the default VRF.,,NOT RUN,
614,dc1-leaf2c,Services,VerifyDNSLookup,Verifies the DNS name to IP address resolution.,,NOT RUN,
615,dc1-leaf2c,Services,VerifyDNSServers,Verifies if the DNS servers are correctly configured.,,NOT RUN,
616,dc1-leaf2c,Services,VerifyErrdisableRecovery,"Verifies the errdisable recovery reason, status, and interval.",,NOT RUN,
617,dc1-leaf2c,Services,VerifyHostname,Verifies the hostname of a device.,,NOT RUN,
618,dc1-leaf2c,SNMP,VerifySnmpIPv4Acl,Verifies if the SNMP agent has IPv4 ACL(s) configured.,,NOT RUN,
619,dc1-leaf2c,SNMP,VerifySnmpIPv6Acl,Verifies if the SNMP agent has IPv6 ACL(s) configured.,,NOT RUN,
620,dc1-leaf2c,SNMP,VerifySnmpStatus,Verifies if the SNMP agent is enabled.,,NOT RUN,
621,dc1-leaf2c,Software,VerifyEOSVersion,Verifies the EOS version of the device.,,NOT RUN,
622,dc1-leaf2c,Software,VerifyTerminAttrVersion,Verifies the TerminAttr version of the device.,,NOT RUN,
623,dc1-leaf2c,STUN,VerifyStunClient,Verifies the STUN client is configured with the specified IPv4 source address and port. Validate the public IP and port if provided.,,NOT RUN,
624,dc1-leaf2c,System,VerifyAgentLogs,Verifies there are no agent crash reports.,,NOT RUN,
625,dc1-leaf2c,System,VerifyCoredump,Verifies there are no core dump files.,,NOT RUN,
626,dc1-leaf2c,System,VerifyCPUUtilization,Verifies whether the CPU utilization is below 75%.,,NOT RUN,
627,dc1-leaf2c,System,VerifyFileSystemUtilization,Verifies that no partition is utilizing more than 75% of its disk space.,,NOT RUN,
628,dc1-leaf2c,System,VerifyMemoryUtilization,Verifies whether the memory utilization is below 75%.,,NOT RUN,
629,dc1-leaf2c,System,VerifyNTP,Verifies if NTP is synchronised.,,NOT RUN,
630,dc1-leaf2c,System,VerifyNTP,Verifies if NTP is synchronised.,,NOT RUN,
631,dc1-leaf2c,System,VerifyReloadCause,Verifies the last reload cause of the device.,,NOT RUN,
632,dc1-leaf2c,System,VerifyUptime,Verifies the device uptime.,,NOT RUN,
633,dc1-leaf2c,VLAN,VerifyVlanInternalPolicy,Verifies the VLAN internal allocation policy and the range of VLANs.,,NOT RUN,
634,dc1-spine1,AAA,VerifyAcctConsoleMethods,"Verifies the AAA accounting console method lists for different accounting types (system, exec, commands, dot1x).",,NOT RUN,
635,dc1-spine1,AAA,VerifyAcctDefaultMethods,"Verifies the AAA accounting default method lists for different accounting types (system, exec, commands, dot1x).",,NOT RUN,
636,dc1-spine1,AAA,VerifyAuthenMethods,"Verifies the AAA authentication method lists for different authentication types (login, enable, dot1x).",,NOT RUN,
637,dc1-spine1,AAA,VerifyAuthzMethods,"Verifies the AAA authorization method lists for different authorization types (commands, exec).",,NOT RUN,
638,dc1-spine1,AAA,VerifyTacacsServerGroups,Verifies if the provided TACACS server group(s) are configured.,,NOT RUN,
639,dc1-spine1,AAA,VerifyTacacsServers,Verifies TACACS servers are configured for a specified VRF.,,NOT RUN,
640,dc1-spine1,AAA,VerifyTacacsSourceIntf,Verifies TACACS source-interface for a specified VRF.,,NOT RUN,
641,dc1-spine1,BFD,VerifyBFDPeersHealth,Verifies the health of all IPv4 BFD peers.,,NOT RUN,
642,dc1-spine1,BFD,VerifyBFDPeersIntervals,Verifies the timers of the IPv4 BFD peers in the specified VRF.,,NOT RUN,
643,dc1-spine1,BFD,VerifyBFDSpecificPeers,Verifies the IPv4 BFD peer's sessions and remote disc in the specified VRF.,,NOT RUN,
644,dc1-spine1,BGP,VerifyBGPAdvCommunities,Verifies the advertised communities of a BGP peer.,,NOT RUN,
645,dc1-spine1,BGP,VerifyBGPExchangedRoutes,Verifies the advertised and received routes of BGP peers.,,NOT RUN,
646,dc1-spine1,BGP,VerifyBGPPeerASNCap,Verifies the four octet asn capabilities of a BGP peer.,,NOT RUN,
647,dc1-spine1,BGP,VerifyBGPPeerCount,Verifies the count of BGP peers.,,NOT RUN,
648,dc1-spine1,BGP,VerifyBGPPeerMD5Auth,Verifies the MD5 authentication and state of a BGP peer.,,NOT RUN,
649,dc1-spine1,BGP,VerifyBGPPeerMPCaps,Verifies the multiprotocol capabilities of a BGP peer.,,NOT RUN,
650,dc1-spine1,BGP,VerifyBGPPeerRouteRefreshCap,Verifies the route refresh capabilities of a BGP peer.,,NOT RUN,
651,dc1-spine1,BGP,VerifyBGPPeersHealth,Verifies the health of BGP peers,,NOT RUN,
652,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,,NOT RUN,
653,dc1-spine1,BGP,VerifyBGPTimers,Verifies the timers of a BGP peer.,,NOT RUN,
654,dc1-spine1,BGP,VerifyEVPNType2Route,Verifies the EVPN Type-2 routes for a given IPv4 or MAC address and VNI.,,NOT RUN,
655,dc1-spine1,Configuration,VerifyRunningConfigDiffs,Verifies there is no difference between the running-config and the startup-config,,NOT RUN,
656,dc1-spine1,Configuration,VerifyZeroTouch,Verifies ZeroTouch is disabled,,NOT RUN,
657,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: dc1-leaf1a Ethernet1,NOT RUN,
658,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: dc1-leaf1b Ethernet1,NOT RUN,
659,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet3 - Remote: dc1-leaf2a Ethernet1,NOT RUN,
660,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet5 - Remote: dc1-svc-leaf1a Ethernet1,NOT RUN,
661,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet6 - Remote: dc1-svc-leaf1b Ethernet1,NOT RUN,
662,dc1-spine1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1 (IP: 10.255.255.0) - Destination: dc1-leaf1a Ethernet1 (IP: 10.255.255.1),NOT RUN,
663,dc1-spine1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2 (IP: 10.255.255.4) - Destination: dc1-leaf1b Ethernet1 (IP: 10.255.255.5),NOT RUN,
664,dc1-spine1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3 (IP: 10.255.255.8) - Destination: dc1-leaf2a Ethernet1 (IP: 10.255.255.9),NOT RUN,
665,dc1-spine1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet5 (IP: 10.33.255.16) - Destination: dc1-svc-leaf1a Ethernet1 (IP: 10.33.255.17),NOT RUN,
666,dc1-spine1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet6 (IP: 10.33.255.20) - Destination: dc1-svc-leaf1b Ethernet1 (IP: 10.33.255.21),NOT RUN,
667,dc1-spine1,Field Notices,VerifyFieldNotice44Resolution,Verifies that the device is using the correct Aboot version per FN0044.,,NOT RUN,
668,dc1-spine1,Field Notices,VerifyFieldNotice72Resolution,"Verifies if the device is exposed to FN0072, and if the issue has been mitigated.",,NOT RUN,
669,dc1-spine1,Greent,VerifyGreenT,Verifies if a GreenT policy is created.,,NOT RUN,
670,dc1-spine1,Greent,VerifyGreenTCounters,Verifies if the GreenT counters are incremented.,,NOT RUN,
671,dc1-spine1,Hardware,VerifyAdverseDrops,Verifies there are no adverse drops on DCS-7280 and DCS-7500 family switches.,,NOT RUN,
672,dc1-spine1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,,NOT RUN,
673,dc1-spine1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',NOT RUN,
674,dc1-spine1,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,,NOT RUN,
675,dc1-spine1,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',NOT RUN,
676,dc1-spine1,Hardware,VerifyEnvironmentSystemCooling,Verifies the system cooling status.,,NOT RUN,
677,dc1-spine1,Hardware,VerifyTemperature,Verifies the device temperature.,,NOT RUN,
678,dc1-spine1,Hardware,VerifyTemperature,Verifies the device temperature.,,NOT RUN,
679,dc1-spine1,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,,NOT RUN,
680,dc1-spine1,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",NOT RUN,
681,dc1-spine1,Hardware,VerifyTransceiversTemperature,Verifies the transceivers temperature.,,NOT RUN,
682,dc1-spine1,Interfaces,VerifyIllegalLACP,Verifies there are no illegal LACP packets in all port channels.,,NOT RUN,
683,dc1-spine1,Interfaces,VerifyInterfaceDiscards,Verifies there are no interface discard counters.,,NOT RUN,
684,dc1-spine1,Interfaces,VerifyInterfaceErrDisabled,Verifies there are no interfaces in the errdisabled state.,,NOT RUN,
685,dc1-spine1,Interfaces,VerifyInterfaceErrors,Verifies there are no interface error counters.,,NOT RUN,
686,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,,NOT RUN,
687,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - P2P_LINK_TO_DC1-LEAF1A_Ethernet1 = 'up',NOT RUN,
688,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - P2P_LINK_TO_DC1-LEAF1B_Ethernet1 = 'up',NOT RUN,
689,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - P2P_LINK_TO_DC1-LEAF2A_Ethernet1 = 'up',NOT RUN,
690,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet4 - P2P_LINK_TO_DC1-LEAF2B_Ethernet1 = 'adminDown',NOT RUN,
691,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet5 - P2P_LINK_TO_DC1-SVC-LEAF1A_Ethernet1 = 'up',NOT RUN,
692,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet6 - P2P_LINK_TO_DC1-SVC-LEAF1B_Ethernet1 = 'up',NOT RUN,
693,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - EVPN_Overlay_Peering = 'up',NOT RUN,
694,dc1-spine1,Interfaces,VerifyInterfaceUtilization,Verifies that the utilization of interfaces is below a certain threshold.,,NOT RUN,
695,dc1-spine1,Interfaces,VerifyIPProxyARP,Verifies if Proxy ARP is enabled.,,NOT RUN,
696,dc1-spine1,Interfaces,VerifyL2MTU,Verifies the global L2 MTU of all L2 interfaces.,,NOT RUN,
697,dc1-spine1,Interfaces,VerifyL3MTU,Verifies the global L3 MTU of all L3 interfaces.,,NOT RUN,
698,dc1-spine1,Interfaces,VerifyLoopbackCount,Verifies the number of loopback interfaces and their status.,,NOT RUN,
699,dc1-spine1,Interfaces,VerifyPortChannels,Verifies there are no inactive ports in all port channels.,,NOT RUN,
700,dc1-spine1,Interfaces,VerifyStormControlDrops,Verifies there are no interface storm-control drop counters.,,NOT RUN,
701,dc1-spine1,Interfaces,VerifySVI,Verifies the status of all SVIs.,,NOT RUN,
702,dc1-spine1,LANZ,VerifyLANZ,Verifies if LANZ is enabled.,,NOT RUN,
703,dc1-spine1,OSPF,VerifyOSPFMaxLSA,Verifies all OSPF instances did not cross the maximum LSA threshold.,,NOT RUN,
704,dc1-spine1,OSPF,VerifyOSPFNeighborCount,Verifies the number of OSPF neighbors in FULL state is the one we expect.,,NOT RUN,
705,dc1-spine1,OSPF,VerifyOSPFNeighborState,Verifies all OSPF neighbors are in FULL state.,,NOT RUN,
706,dc1-spine1,PTP,VerifyPtpGMStatus,Verifies that the device is locked to a valid PTP Grandmaster.,,NOT RUN,
707,dc1-spine1,PTP,VerifyPtpLockStatus,Verifies that the device was locked to the upstream PTP GM in the last minute.,,NOT RUN,
708,dc1-spine1,PTP,VerifyPtpModeStatus,Verifies that the device is configured as a PTP Boundary Clock.,,NOT RUN,
709,dc1-spine1,PTP,VerifyPtpOffset,Verifies that the PTP timing offset is within +/- 1000ns from the master clock.,,NOT RUN,
710,dc1-spine1,PTP,VerifyPtpPortModeStatus,Verifies the PTP interfaces state.,,NOT RUN,
711,dc1-spine1,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,,NOT RUN,
712,dc1-spine1,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,,NOT RUN,
713,dc1-spine1,Routing,VerifyRoutingTableSize,Verifies the size of the IP routing table of the default VRF.,,NOT RUN,
714,dc1-spine1,Security,VerifyAPIHttpsSSL,Verifies if the eAPI has a valid SSL profile.,,NOT RUN,
715,dc1-spine1,Security,VerifyAPIHttpsSSL,Verifies if the eAPI has a valid SSL profile.,eAPI HTTPS SSL Profile: eAPI_SSL_Profile,NOT RUN,
716,dc1-spine1,Security,VerifyAPIHttpStatus,Verifies if eAPI HTTP server is disabled globally.,,NOT RUN,
717,dc1-spine1,Security,VerifyAPIIPv4Acl,Verifies if eAPI has the right number IPv4 ACL(s) configured for a specified VRF.,,NOT RUN,
718,dc1-spine1,Security,VerifyAPIIPv6Acl,Verifies if eAPI has the right number IPv6 ACL(s) configured for a specified VRF.,,NOT RUN,
719,dc1-spine1,Security,VerifyAPISSLCertificate,"Verifies the eAPI SSL certificate expiry, common subject name, encryption algorithm and key size.",,NOT RUN,
720,dc1-spine1,Security,VerifyBannerLogin,Verifies the login banner of a device.,,NOT RUN,
721,dc1-spine1,Security,VerifyBannerMotd,Verifies the motd banner of a device.,,NOT RUN,
722,dc1-spine1,Security,VerifyIPSecConnHealth,Verifies all IPv4 security connections.,,NOT RUN,
723,dc1-spine1,Security,VerifyIPv4ACL,Verifies the configuration of IPv4 ACLs.,,NOT RUN,
724,dc1-spine1,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,,NOT RUN,
725,dc1-spine1,Security,VerifySSHIPv4Acl,Verifies if the SSHD agent has IPv4 ACL(s) configured.,,NOT RUN,
726,dc1-spine1,Security,VerifySSHIPv6Acl,Verifies if the SSHD agent has IPv6 ACL(s) configured.,,NOT RUN,
727,dc1-spine1,Security,VerifySSHStatus,Verifies if the SSHD agent is disabled in the default VRF.,,NOT RUN,
728,dc1-spine1,Security,VerifyTelnetStatus,Verifies if Telnet is disabled in the default VRF.,,NOT RUN,
729,dc1-spine1,Services,VerifyDNSLookup,Verifies the DNS name to IP address resolution.,,NOT RUN,
730,dc1-spine1,Services,VerifyDNSServers,Verifies if the DNS servers are correctly configured.,,NOT RUN,
731,dc1-spine1,Services,VerifyErrdisableRecovery,"Verifies the errdisable recovery reason, status, and interval.",,NOT RUN,
732,dc1-spine1,Services,VerifyHostname,Verifies the hostname of a device.,,NOT RUN,
733,dc1-spine1,SNMP,VerifySnmpIPv4Acl,Verifies if the SNMP agent has IPv4 ACL(s) configured.,,NOT RUN,
734,dc1-spine1,SNMP,VerifySnmpIPv6Acl,Verifies if the SNMP agent has IPv6 ACL(s) configured.,,NOT RUN,
735,dc1-spine1,SNMP,VerifySnmpStatus,Verifies if the SNMP agent is enabled.,,NOT RUN,
736,dc1-spine1,Software,VerifyEOSVersion,Verifies the EOS version of the device.,,NOT RUN,
737,dc1-spine1,Software,VerifyTerminAttrVersion,Verifies the TerminAttr version of the device.,,NOT RUN,
738,dc1-spine1,STUN,VerifyStunClient,Verifies the STUN client is configured with the specified IPv4 source address and port. Validate the public IP and port if provided.,,NOT RUN,
739,dc1-spine1,System,VerifyAgentLogs,Verifies there are no agent crash reports.,,NOT RUN,
740,dc1-spine1,System,VerifyCoredump,Verifies there are no core dump files.,,NOT RUN,
741,dc1-spine1,System,VerifyCPUUtilization,Verifies whether the CPU utilization is below 75%.,,NOT RUN,
742,dc1-spine1,System,VerifyFileSystemUtilization,Verifies that no partition is utilizing more than 75% of its disk space.,,NOT RUN,
743,dc1-spine1,System,VerifyMemoryUtilization,Verifies whether the memory utilization is below 75%.,,NOT RUN,
744,dc1-spine1,System,VerifyNTP,Verifies if NTP is synchronised.,,NOT RUN,
745,dc1-spine1,System,VerifyNTP,Verifies if NTP is synchronised.,,NOT RUN,
746,dc1-spine1,System,VerifyReloadCause,Verifies the last reload cause of the device.,,NOT RUN,
747,dc1-spine1,System,VerifyUptime,Verifies the device uptime.,,NOT RUN,
748,dc1-spine1,VLAN,VerifyVlanInternalPolicy,Verifies the VLAN internal allocation policy and the range of VLANs.,,NOT RUN,
749,dc1-spine2,AAA,VerifyAcctConsoleMethods,"Verifies the AAA accounting console method lists for different accounting types (system, exec, commands, dot1x).",,NOT RUN,
750,dc1-spine2,AAA,VerifyAcctDefaultMethods,"Verifies the AAA accounting default method lists for different accounting types (system, exec, commands, dot1x).",,NOT RUN,
751,dc1-spine2,AAA,VerifyAuthenMethods,"Verifies the AAA authentication method lists for different authentication types (login, enable, dot1x).",,NOT RUN,
752,dc1-spine2,AAA,VerifyAuthzMethods,"Verifies the AAA authorization method lists for different authorization types (commands, exec).",,NOT RUN,
753,dc1-spine2,AAA,VerifyTacacsServerGroups,Verifies if the provided TACACS server group(s) are configured.,,NOT RUN,
754,dc1-spine2,AAA,VerifyTacacsServers,Verifies TACACS servers are configured for a specified VRF.,,NOT RUN,
755,dc1-spine2,AAA,VerifyTacacsSourceIntf,Verifies TACACS source-interface for a specified VRF.,,NOT RUN,
756,dc1-spine2,BFD,VerifyBFDPeersHealth,Verifies the health of all IPv4 BFD peers.,,NOT RUN,
757,dc1-spine2,BFD,VerifyBFDPeersIntervals,Verifies the timers of the IPv4 BFD peers in the specified VRF.,,NOT RUN,
758,dc1-spine2,BFD,VerifyBFDSpecificPeers,Verifies the IPv4 BFD peer's sessions and remote disc in the specified VRF.,,NOT RUN,
759,dc1-spine2,BGP,VerifyBGPAdvCommunities,Verifies the advertised communities of a BGP peer.,,NOT RUN,
760,dc1-spine2,BGP,VerifyBGPExchangedRoutes,Verifies the advertised and received routes of BGP peers.,,NOT RUN,
761,dc1-spine2,BGP,VerifyBGPPeerASNCap,Verifies the four octet asn capabilities of a BGP peer.,,NOT RUN,
762,dc1-spine2,BGP,VerifyBGPPeerCount,Verifies the count of BGP peers.,,NOT RUN,
763,dc1-spine2,BGP,VerifyBGPPeerMD5Auth,Verifies the MD5 authentication and state of a BGP peer.,,NOT RUN,
764,dc1-spine2,BGP,VerifyBGPPeerMPCaps,Verifies the multiprotocol capabilities of a BGP peer.,,NOT RUN,
765,dc1-spine2,BGP,VerifyBGPPeerRouteRefreshCap,Verifies the route refresh capabilities of a BGP peer.,,NOT RUN,
766,dc1-spine2,BGP,VerifyBGPPeersHealth,Verifies the health of BGP peers,,NOT RUN,
767,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,,NOT RUN,
768,dc1-spine2,BGP,VerifyBGPTimers,Verifies the timers of a BGP peer.,,NOT RUN,
769,dc1-spine2,BGP,VerifyEVPNType2Route,Verifies the EVPN Type-2 routes for a given IPv4 or MAC address and VNI.,,NOT RUN,
770,dc1-spine2,Configuration,VerifyRunningConfigDiffs,Verifies there is no difference between the running-config and the startup-config,,NOT RUN,
771,dc1-spine2,Configuration,VerifyZeroTouch,Verifies ZeroTouch is disabled,,NOT RUN,
772,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: dc1-leaf1a Ethernet2,NOT RUN,
773,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: dc1-leaf1b Ethernet2,NOT RUN,
774,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet3 - Remote: dc1-leaf2a Ethernet2,NOT RUN,
775,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet5 - Remote: dc1-svc-leaf1a Ethernet2,NOT RUN,
776,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet6 - Remote: dc1-svc-leaf1b Ethernet2,NOT RUN,
777,dc1-spine2,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1 (IP: 10.255.255.2) - Destination: dc1-leaf1a Ethernet2 (IP: 10.255.255.3),NOT RUN,
778,dc1-spine2,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2 (IP: 10.255.255.6) - Destination: dc1-leaf1b Ethernet2 (IP: 10.255.255.7),NOT RUN,
779,dc1-spine2,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3 (IP: 10.255.255.10) - Destination: dc1-leaf2a Ethernet2 (IP: 10.255.255.11),NOT RUN,
780,dc1-spine2,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet5 (IP: 10.33.255.18) - Destination: dc1-svc-leaf1a Ethernet2 (IP: 10.33.255.19),NOT RUN,
781,dc1-spine2,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet6 (IP: 10.33.255.22) - Destination: dc1-svc-leaf1b Ethernet2 (IP: 10.33.255.23),NOT RUN,
782,dc1-spine2,Field Notices,VerifyFieldNotice44Resolution,Verifies that the device is using the correct Aboot version per FN0044.,,NOT RUN,
783,dc1-spine2,Field Notices,VerifyFieldNotice72Resolution,"Verifies if the device is exposed to FN0072, and if the issue has been mitigated.",,NOT RUN,
784,dc1-spine2,Greent,VerifyGreenT,Verifies if a GreenT policy is created.,,NOT RUN,
785,dc1-spine2,Greent,VerifyGreenTCounters,Verifies if the GreenT counters are incremented.,,NOT RUN,
786,dc1-spine2,Hardware,VerifyAdverseDrops,Verifies there are no adverse drops on DCS-7280 and DCS-7500 family switches.,,NOT RUN,
787,dc1-spine2,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,,NOT RUN,
